id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
35,1,127.0.0.1,00:00:00:00:00:00,00:00:00,54910,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773523582535,1773523592519,9984,27,5189,1773523582535,1773523592519,9984,16,2088,1773523582537,1773523592519,9982,11,3101,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
36,0,127.0.0.1,00:00:00:00:00:00,00:00:00,50468,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,6,4,0,0,1773523586734,1773523590690,3956,14,1614,1773523586734,1773523590690,3956,8,866,1773523586734,1773523590690,3956,6,748,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
37,0,127.0.0.1,00:00:00:00:00:00,00:00:00,45976,127.0.0.1,00:00:00:00:00:00,00:00:00,8003,6,4,0,0,1773523592517,1773523597110,4593,21,3590,1773523592517,1773523597110,4593,12,1403,1773523592517,1773523597110,4593,9,2187,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
46,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,127.0.0.1,00:00:00:00:00:00,00:00:00,50468,6,4,0,0,1773523595692,1773523597004,1312,4,264,1773523595692,1773523597004,1312,2,132,1773523595734,1773523597004,1270,2,132,Unknown,Unspecified,0,0,,,,,
73,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8003,127.0.0.1,00:00:00:00:00:00,00:00:00,38312,6,4,0,0,1773523590014,1773523590689,675,4,264,1773523590014,1773523590689,675,2,132,1773523590064,1773523590689,625,2,132,Unknown,Unspecified,0,0,,,,,
