id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
6176,1,127.0.0.1,00:00:00:00:00:00,00:00:00,58548,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773560700878,1773560710193,9315,40,6112,1773560700878,1773560710193,9315,26,2949,1773560700882,1773560710193,9311,14,3163,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,
6178,0,127.0.0.1,00:00:00:00:00:00,00:00:00,40392,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,6,4,0,0,1773560710173,1773560710184,11,9,950,1773560710173,1773560710184,11,5,502,1773560710173,1773560710184,11,4,448,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
6182,0,::1,00:00:00:00:00:00,00:00:00,45828,::1,00:00:00:00:00:00,00:00:00,8002,6,6,0,0,1773560710172,1773560710172,0,2,168,1773560710172,1773560710172,0,1,94,1773560710172,1773560710172,0,1,74,Unknown,Unspecified,0,0,,,,,
6184,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,127.0.0.1,00:00:00:00:00:00,00:00:00,40392,6,4,0,0,1773560715185,1773560716312,1127,4,264,1773560715185,1773560716312,1127,2,132,1773560715227,1773560716312,1085,2,132,Unknown,Unspecified,0,0,,,,,
6185,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,127.0.0.1,00:00:00:00:00:00,00:00:00,36508,6,4,0,0,1773560712168,1773560716311,4143,4,264,1773560712168,1773560716311,4143,2,132,1773560712211,1773560716311,4100,2,132,Unknown,Unspecified,0,0,,,,,
6186,0,::1,00:00:00:00:00:00,00:00:00,34514,::1,00:00:00:00:00:00,00:00:00,8001,6,6,0,0,1773560716318,1773560716318,0,2,168,1773560716318,1773560716318,0,1,94,1773560716318,1773560716318,0,1,74,Unknown,Unspecified,0,0,,,,,
