id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
2480,0,127.0.0.1,00:00:00:00:00:00,00:00:00,57690,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773553788972,1773553790883,1911,23,3719,1773553788972,1773553790883,1911,14,1593,1773553788995,1773553790883,1888,9,2126,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
2481,0,::1,00:00:00:00:00:00,00:00:00,56966,::1,00:00:00:00:00:00,00:00:00,8000,6,6,0,0,1773553790949,1773553790949,0,2,168,1773553790949,1773553790949,0,1,94,1773553790949,1773553790949,0,1,74,Unknown,Unspecified,0,0,,,,,
2483,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,127.0.0.1,00:00:00:00:00:00,00:00:00,48442,6,4,0,0,1773553793989,1773553795298,1309,4,264,1773553793989,1773553795298,1309,2,132,1773553794031,1773553795298,1267,2,132,Unknown,Unspecified,0,0,,,,,
2484,0,::1,00:00:00:00:00:00,00:00:00,48964,::1,00:00:00:00:00:00,00:00:00,8001,6,6,0,0,1773553795305,1773553795305,0,2,168,1773553795305,1773553795305,0,1,94,1773553795305,1773553795305,0,1,74,Unknown,Unspecified,0,0,,,,,
2485,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,127.0.0.1,00:00:00:00:00:00,00:00:00,32912,6,4,0,0,1773553791436,1773553795299,3863,4,264,1773553791436,1773553795299,3863,2,132,1773553791479,1773553795299,3820,2,132,Unknown,Unspecified,0,0,,,,,
2486,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8003,127.0.0.1,00:00:00:00:00:00,00:00:00,47634,6,4,0,0,1773553794842,1773553795299,457,4,264,1773553794842,1773553795299,457,2,132,1773553794883,1773553795299,416,2,132,Unknown,Unspecified,0,0,,,,,
