id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
5660,1,127.0.0.1,00:00:00:00:00:00,00:00:00,54388,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,6,4,0,0,1773559743940,1773559750452,6512,21,2575,1773559743940,1773559750452,6512,12,1374,1773559743940,1773559750452,6512,9,1201,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
5661,0,127.0.0.1,00:00:00:00:00:00,00:00:00,52088,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,6,4,0,0,1773559752743,1773559752829,86,11,1244,1773559752743,1773559752829,86,6,646,1773559752743,1773559752829,86,5,598,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
5662,1,127.0.0.1,00:00:00:00:00:00,00:00:00,59134,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773559746785,1773559755432,8647,28,4187,1773559746785,1773559755432,8647,14,1888,1773559746785,1773559755432,8647,14,2299,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
5663,0,127.0.0.1,00:00:00:00:00:00,00:00:00,54388,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,6,4,0,0,1773559755408,1773559759334,3926,12,1628,1773559755408,1773559759334,3926,7,871,1773559755417,1773559759334,3917,5,757,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
5664,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,127.0.0.1,00:00:00:00:00:00,00:00:00,52088,6,4,0,0,1773559757831,1773559759316,1485,4,264,1773559757831,1773559759316,1485,2,132,1773559757875,1773559759316,1441,2,132,Unknown,Unspecified,0,0,,,,,
5665,0,::1,00:00:00:00:00:00,00:00:00,34050,::1,00:00:00:00:00:00,00:00:00,8002,6,6,0,0,1773559752741,1773559752741,0,2,168,1773559752741,1773559752741,0,1,94,1773559752741,1773559752741,0,1,74,Unknown,Unspecified,0,0,,,,,
