id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
7266,0,127.0.0.1,00:00:00:00:00:00,00:00:00,55890,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,6,4,0,0,1773562666392,1773562666409,17,9,946,1773562666392,1773562666409,17,5,503,1773562666392,1773562666408,16,4,443,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
7267,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,127.0.0.1,00:00:00:00:00:00,00:00:00,51338,6,4,0,0,1773562664174,1773562666384,2210,4,264,1773562664174,1773562666384,2210,2,132,1773562664215,1773562666384,2169,2,132,Unknown,Unspecified,0,0,,,,,
7268,0,::1,00:00:00:00:00:00,00:00:00,56982,::1,00:00:00:00:00:00,00:00:00,8001,6,6,0,0,1773562666390,1773562666390,0,2,168,1773562666390,1773562666390,0,1,94,1773562666390,1773562666390,0,1,74,Unknown,Unspecified,0,0,,,,,
7269,1,127.0.0.1,00:00:00:00:00:00,00:00:00,56280,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773562662522,1773562669620,7098,21,2684,1773562662522,1773562669620,7098,11,1463,1773562662527,1773562669620,7093,10,1221,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
