id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
3111,0,127.0.0.1,00:00:00:00:00:00,00:00:00,33866,127.0.0.1,00:00:00:00:00:00,00:00:00,8003,6,4,0,0,1773554960062,1773554960320,258,11,1596,1773554960062,1773554960320,258,6,667,1773554960062,1773554960320,258,5,929,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
3112,1,127.0.0.1,00:00:00:00:00:00,00:00:00,45938,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773554956391,1773554966348,9957,27,5080,1773554956391,1773554966348,9957,14,1860,1773554956391,1773554966348,9957,13,3220,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
3113,0,::1,00:00:00:00:00:00,00:00:00,52908,::1,00:00:00:00:00:00,00:00:00,8003,6,6,0,0,1773554960060,1773554960060,0,2,168,1773554960060,1773554960060,0,1,94,1773554960060,1773554960060,0,1,74,Unknown,Unspecified,0,0,,,,,
3114,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8003,127.0.0.1,00:00:00:00:00:00,00:00:00,33866,6,4,0,0,1773554965322,1773554965363,41,2,132,1773554965322,1773554965322,0,1,66,1773554965363,1773554965363,0,1,66,Unknown,Unspecified,0,0,,,,,
3115,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,127.0.0.1,00:00:00:00:00:00,00:00:00,34792,6,4,0,0,1773554961421,1773554961463,42,2,132,1773554961421,1773554961421,0,1,66,1773554961463,1773554961463,0,1,66,Unknown,Unspecified,0,0,,,,,
