id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
1958,0,127.0.0.1,00:00:00:00:00:00,00:00:00,59662,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,6,4,0,0,1773552847891,1773552847986,95,11,1238,1773552847891,1773552847986,95,6,644,1773552847891,1773552847986,95,5,594,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
1959,0,127.0.0.1,00:00:00:00:00:00,00:00:00,54312,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773552847860,1773552847998,138,11,1431,1773552847860,1773552847998,138,6,699,1773552847860,1773552847998,138,5,732,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
1960,0,127.0.0.1,00:00:00:00:00:00,00:00:00,40226,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,6,4,0,0,1773552847883,1773552847883,0,2,132,1773552847883,1773552847883,0,1,66,1773552847883,1773552847883,0,1,66,Unknown,Unspecified,0,0,,,,,
1961,0,127.0.0.1,00:00:00:00:00:00,00:00:00,55378,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773552847852,1773552847852,0,2,132,1773552847852,1773552847852,0,1,66,1773552847852,1773552847852,0,1,66,Unknown,Unspecified,0,0,,,,,
1962,0,::1,00:00:00:00:00:00,00:00:00,48394,::1,00:00:00:00:00:00,00:00:00,8002,6,6,0,0,1773552847889,1773552847889,0,2,168,1773552847889,1773552847889,0,1,94,1773552847889,1773552847889,0,1,74,Unknown,Unspecified,0,0,,,,,
1964,0,::1,00:00:00:00:00:00,00:00:00,47380,::1,00:00:00:00:00:00,00:00:00,8000,6,6,0,0,1773552847858,1773552847858,0,2,168,1773552847858,1773552847858,0,1,94,1773552847858,1773552847858,0,1,74,Unknown,Unspecified,0,0,,,,,
