id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
4624,0,127.0.0.1,00:00:00:00:00:00,00:00:00,45796,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773557832310,1773557832351,41,9,2617,1773557832310,1773557832351,41,5,506,1773557832310,1773557832350,40,4,2111,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,text/html
4625,0,127.0.0.1,00:00:00:00:00:00,00:00:00,47556,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773557832301,1773557832301,0,2,132,1773557832301,1773557832301,0,1,66,1773557832301,1773557832301,0,1,66,Unknown,Unspecified,0,0,,,,,
4626,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,127.0.0.1,00:00:00:00:00:00,00:00:00,45796,6,4,0,0,1773557837354,1773557837395,41,2,132,1773557837354,1773557837354,0,1,66,1773557837395,1773557837395,0,1,66,Unknown,Unspecified,0,0,,,,,
4632,0,::1,00:00:00:00:00:00,00:00:00,50206,::1,00:00:00:00:00:00,00:00:00,8000,6,6,0,0,1773557832307,1773557832307,0,2,168,1773557832307,1773557832307,0,1,94,1773557832307,1773557832307,0,1,74,Unknown,Unspecified,0,0,,,,,
