id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
4444,0,127.0.0.1,00:00:00:00:00:00,00:00:00,45990,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773557472441,1773557472458,17,9,1070,1773557472441,1773557472458,17,5,486,1773557472441,1773557472458,17,4,584,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
4446,0,127.0.0.1,00:00:00:00:00:00,00:00:00,42656,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773557472432,1773557472432,0,2,132,1773557472432,1773557472432,0,1,66,1773557472432,1773557472432,0,1,66,Unknown,Unspecified,0,0,,,,,
4447,0,::1,00:00:00:00:00:00,00:00:00,53856,::1,00:00:00:00:00:00,00:00:00,8000,6,6,0,0,1773557472438,1773557472438,0,2,168,1773557472438,1773557472438,0,1,94,1773557472438,1773557472438,0,1,74,Unknown,Unspecified,0,0,,,,,
4448,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,127.0.0.1,00:00:00:00:00:00,00:00:00,45990,6,4,0,0,1773557477460,1773557477503,43,2,132,1773557477460,1773557477460,0,1,66,1773557477503,1773557477503,0,1,66,Unknown,Unspecified,0,0,,,,,
