id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
4790,0,127.0.0.1,00:00:00:00:00:00,00:00:00,49494,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,6,4,0,0,1773558209773,1773558212902,3129,16,1914,1773558209773,1773558212902,3129,9,1013,1773558209773,1773558212902,3129,7,901,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
4792,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8003,127.0.0.1,00:00:00:00:00:00,00:00:00,40118,6,4,0,0,1773558212682,1773558212886,204,4,264,1773558212682,1773558212886,204,2,132,1773558212723,1773558212886,163,2,132,Unknown,Unspecified,0,0,,,,,
4796,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,127.0.0.1,00:00:00:00:00:00,00:00:00,49494,6,4,0,0,1773558217903,1773558217947,44,2,132,1773558217903,1773558217903,0,1,66,1773558217947,1773558217947,0,1,66,Unknown,Unspecified,0,0,,,,,
