id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
313,1,127.0.0.1,00:00:00:00:00:00,00:00:00,33154,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773549864882,1773549873717,8835,26,4149,1773549864882,1773549873717,8835,13,1677,1773549864923,1773549873716,8793,13,2472,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
318,0,127.0.0.1,00:00:00:00:00:00,00:00:00,56758,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,6,4,0,0,1773549875936,1773549878796,2860,16,1911,1773549875936,1773549878796,2860,9,1012,1773549875936,1773549878796,2860,7,899,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
319,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,127.0.0.1,00:00:00:00:00:00,00:00:00,56932,6,4,0,0,1773549874678,1773549875926,1248,4,264,1773549874678,1773549875926,1248,2,132,1773549874723,1773549875926,1203,2,132,Unknown,Unspecified,0,0,,,,,
321,0,127.0.0.1,00:00:00:00:00:00,00:00:00,33838,127.0.0.1,00:00:00:00:00:00,00:00:00,8003,6,4,0,0,1773549875925,1773549875925,0,2,132,1773549875925,1773549875925,0,1,66,1773549875925,1773549875925,0,1,66,Unknown,Unspecified,0,0,,,,,
322,0,::1,00:00:00:00:00:00,00:00:00,51464,::1,00:00:00:00:00:00,00:00:00,8001,6,6,0,0,1773549875933,1773549875934,1,2,168,1773549875933,1773549875933,0,1,94,1773549875934,1773549875934,0,1,74,Unknown,Unspecified,0,0,,,,,
325,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,127.0.0.1,00:00:00:00:00:00,00:00:00,48864,6,4,0,0,1773549871593,1773549875926,4333,4,264,1773549871593,1773549875926,4333,2,132,1773549871635,1773549875926,4291,2,132,Unknown,Unspecified,0,0,,,,,
