id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
6959,0,127.0.0.1,00:00:00:00:00:00,00:00:00,48108,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,6,4,0,0,1773562109928,1773562113135,3207,17,1972,1773562109928,1773562113135,3207,9,1006,1773562109928,1773562113135,3207,8,966,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
6960,1,127.0.0.1,00:00:00:00:00:00,00:00:00,53374,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773562105987,1773562115455,9468,29,6279,1773562105987,1773562115455,9468,17,2203,1773562106019,1773562115455,9436,12,4076,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
6963,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,127.0.0.1,00:00:00:00:00:00,00:00:00,36048,6,4,0,0,1773562111013,1773562113124,2111,4,264,1773562111013,1773562113124,2111,2,132,1773562111055,1773562113124,2069,2,132,Unknown,Unspecified,0,0,,,,,
6964,0,127.0.0.1,00:00:00:00:00:00,00:00:00,45088,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,6,4,0,0,1773562118534,1773562118553,19,11,1242,1773562118534,1773562118553,19,6,648,1773562118534,1773562118553,19,5,594,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
6965,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,127.0.0.1,00:00:00:00:00:00,00:00:00,48108,6,4,0,0,1773562118137,1773562118525,388,4,264,1773562118137,1773562118525,388,2,132,1773562118179,1773562118525,346,2,132,Unknown,Unspecified,0,0,,,,,
6967,0,::1,00:00:00:00:00:00,00:00:00,50838,::1,00:00:00:00:00:00,00:00:00,8001,6,6,0,0,1773562118531,1773562118531,0,2,168,1773562118531,1773562118531,0,1,94,1773562118531,1773562118531,0,1,74,Unknown,Unspecified,0,0,,,,,
