id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
511,1,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,127.0.0.1,00:00:00:00:00:00,00:00:00,57306,6,4,0,0,1773550268390,1773550276156,7766,37,4694,1773550268390,1773550276156,7766,12,2008,1773550268390,1773550276156,7766,25,2686,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
512,0,127.0.0.1,00:00:00:00:00:00,00:00:00,49976,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,6,4,0,0,1773550276117,1773550276117,0,2,132,1773550276117,1773550276117,0,1,66,1773550276117,1773550276117,0,1,66,Unknown,Unspecified,0,0,,,,,
513,0,127.0.0.1,00:00:00:00:00:00,00:00:00,45912,127.0.0.1,00:00:00:00:00:00,00:00:00,8003,6,4,0,0,1773550276117,1773550276117,0,2,132,1773550276117,1773550276117,0,1,66,1773550276117,1773550276117,0,1,66,Unknown,Unspecified,0,0,,,,,
514,0,::1,00:00:00:00:00:00,00:00:00,48558,::1,00:00:00:00:00:00,00:00:00,8001,6,6,0,0,1773550276123,1773550276123,0,2,168,1773550276123,1773550276123,0,1,94,1773550276123,1773550276123,0,1,74,Unknown,Unspecified,0,0,,,,,
