id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
107,1,127.0.0.1,00:00:00:00:00:00,00:00:00,50208,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773541603609,1773541613064,9455,63,8794,1773541603609,1773541613064,9455,43,4804,1773541603614,1773541613064,9450,20,3990,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,
108,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,127.0.0.1,00:00:00:00:00:00,00:00:00,60442,6,4,0,0,1773541610526,1773541610567,41,2,132,1773541610526,1773541610526,0,1,66,1773541610567,1773541610567,0,1,66,Unknown,Unspecified,0,0,,,,,
109,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8003,127.0.0.1,00:00:00:00:00:00,00:00:00,39346,6,4,0,0,1773541613182,1773541613223,41,2,132,1773541613182,1773541613182,0,1,66,1773541613223,1773541613223,0,1,66,Unknown,Unspecified,0,0,,,,,
